num_of_epochs,training_accuracy,training_loss,validation_accuracy,validation_loss
1.0,56.25,1.2627202272415161,54.37499999999999,1.3370620012283325
2.0,62.5,1.3916264772415161,61.60714285714286,1.9120763540267944
3.0,75.0,0.7842404842376709,68.03571428571429,1.4020715951919556
4.0,75.0,0.9061585068702698,70.35714285714286,0.6674879789352417
5.0,65.625,0.7136637568473816,72.14285714285714,0.978384256362915
6.0,68.75,1.0802135467529297,75.80357142857143,0.7624297142028809
7.0,81.25,0.5764136910438538,77.94642857142857,0.8245819807052612
8.0,78.125,0.5511006712913513,78.03571428571429,0.75079345703125
9.0,90.625,0.3719886243343353,79.73214285714286,0.8023985028266907
10.0,87.5,0.4307328164577484,79.375,0.5714287757873535
11.0,84.375,0.6203561425209045,81.60714285714286,0.8639773726463318
12.0,87.5,0.7432532906532288,80.08928571428572,0.946499764919281
13.0,87.5,0.4259396195411682,80.89285714285714,0.7009507417678833
14.0,84.375,0.43711796402931213,85.625,0.5331318378448486
15.0,84.375,0.35451990365982056,83.75,0.5548686385154724
16.0,87.5,0.4181830883026123,84.64285714285714,0.4932079017162323
17.0,65.625,1.0555589199066162,84.375,1.1979387998580933
18.0,87.5,0.29459109902381897,85.44642857142857,0.5615224242210388
19.0,90.625,0.19711410999298096,86.07142857142858,0.29498928785324097
20.0,96.875,0.1483103632926941,84.91071428571428,0.868157684803009
21.0,90.625,0.2364443987607956,86.33928571428572,0.4109424352645874
22.0,93.75,0.21977177262306213,88.48214285714285,0.7087963223457336
23.0,78.125,0.45866337418556213,87.41071428571429,0.4758092761039734
24.0,93.75,0.14462904632091522,87.85714285714286,0.33720993995666504
25.0,93.75,0.15164794027805328,87.41071428571429,0.7673452496528625
